time,latitude,longitude,sst
1980-01-01,90.0,157.5,271.45972
1980-01-01,90.0,160.0,271.45972
1980-01-01,90.0,162.5,271.45972
1980-01-01,90.0,165.0,271.45972
1980-01-01,90.0,167.5,271.45972
1980-01-01,90.0,170.0,271.45972
1980-01-01,90.0,172.5,271.45972
1980-01-01,90.0,175.0,271.45972
1980-01-01,90.0,177.5,271.45972
1980-01-01,87.5,-180.0,271.45972
1980-01-01,87.5,-177.5,271.45972
1980-01-01,87.5,-175.0,271.45972
1980-01-01,87.5,-172.5,271.45972
1980-01-01,87.5,-170.0,271.45972
1980-01-01,87.5,-167.5,271.45972
1980-01-01,87.5,-165.0,271.45972
1980-01-01,87.5,-162.5,271.45972
1980-01-01,87.5,-160.0,271.45972
1980-01-01,87.5,-157.5,271.45972
1980-01-01,87.5,-155.0,271.45972
1980-01-01,87.5,-152.5,271.45972
1980-01-01,87.5,-150.0,271.45972
1980-01-01,87.5,-147.5,271.45972
1980-01-01,87.5,-145.0,271.45972
1980-01-01,87.5,-142.5,271.45972
1980-01-01,87.5,-140.0,271.45972
1980-01-01,87.5,-137.5,271.45972
1980-01-01,87.5,-135.0,271.45972
1980-01-01,87.5,-132.5,271.45972
1980-01-01,87.5,-130.0,271.45972
1980-01-01,87.5,-127.5,271.45972
1980-01-01,87.5,-125.0,271.45972
1980-01-01,87.5,-122.5,271.45972
1980-01-01,87.5,-120.0,271.45972
1980-01-01,87.5,-117.5,271.45972
1980-01-01,87.5,-115.0,271.45972
1980-01-01,87.5,-112.5,271.45972
1980-01-01,87.5,-110.0,271.45972
1980-01-01,87.5,-107.5,271.45972
1980-01-01,87.5,-105.0,271.45972
1980-01-01,87.5,-102.5,271.45972
1980-01-01,87.5,-100.0,271.45972
1980-01-01,87.5,-97.5,271.45972
1980-01-01,87.5,-95.0,271.45972
1980-01-01,87.5,-92.5,271.45972
1980-01-01,87.5,-90.0,271.45972
1980-01-01,87.5,-87.5,271.45972
1980-01-01,87.5,-85.0,271.45972
1980-01-01,87.5,-82.5,271.45972
1980-01-01,87.5,-80.0,271.45972
1980-01-01,87.5,-77.5,271.45972
1980-01-01,87.5,-75.0,271.45972
1980-01-01,87.5,-72.5,271.45972
1980-01-01,87.5,-70.0,271.45972
1980-01-01,87.5,-67.5,271.45972
1980-01-01,87.5,-65.0,271.45972
1980-01-01,87.5,-62.5,271.45972
1980-01-01,87.5,-60.0,271.45972
1980-01-01,87.5,-57.5,271.45972
1980-01-01,87.5,-55.0,271.45972
1980-01-01,87.5,-52.5,271.45972
1980-01-01,87.5,-50.0,271.45972
1980-01-01,87.5,-47.5,271.45972
1980-01-01,87.5,-45.0,271.45972
1980-01-01,87.5,-42.5,271.45972
1980-01-01,87.5,-40.0,271.45972
1980-01-01,87.5,-37.5,271.45972
1980-01-01,87.5,-35.0,271.45972
1980-01-01,87.5,-32.5,271.45972
1980-01-01,87.5,-30.0,271.45972
1980-01-01,87.5,-27.5,271.45972
1980-01-01,87.5,-25.0,271.45972
1980-01-01,87.5,-22.5,271.45972
1980-01-01,87.5,-20.0,271.45972
1980-01-01,87.5,-17.5,271.45972
1980-01-01,87.5,-15.0,271.45972
1980-01-01,87.5,-12.5,271.45972
1980-01-01,87.5,-10.0,271.45972
1980-01-01,87.5,-7.5,271.45972
1980-01-01,87.5,-5.0,271.45972
1980-01-01,87.5,-2.5,271.45972
1980-01-01,87.5,0.0,271.45972
1980-01-01,87.5,2.5,271.45972
1980-01-01,87.5,5.0,271.45972
1980-01-01,87.5,7.5,271.45972
1980-01-01,87.5,10.0,271.45972
1980-01-01,87.5,12.5,271.45972
1980-01-01,87.5,15.0,271.45972
1980-01-01,87.5,17.5,271.45972
1980-01-01,87.5,20.0,271.45972
1980-01-01,87.5,22.5,271.45972
1980-01-01,87.5,25.0,271.45972
1980-01-01,87.5,27.5,271.45972
1980-01-01,87.5,30.0,271.45972
1980-01-01,87.5,32.5,271.45972
1980-01-01,87.5,35.0,271.45972
1980-01-01,87.5,37.5,271.45972
1980-01-01,87.5,40.0,271.45972
1980-01-01,87.5,42.5,271.45972
1980-01-01,87.5,45.0,271.45972
1980-01-01,87.5,47.5,271.45972
1980-01-01,87.5,50.0,271.45972
1980-01-01,87.5,52.5,271.45972
1980-01-01,87.5,55.0,271.45972
1980-01-01,87.5,57.5,271.45972
1980-01-01,87.5,60.0,271.45972
1980-01-01,87.5,62.5,271.45972
1980-01-01,87.5,65.0,271.45972
1980-01-01,87.5,67.5,271.45972
1980-01-01,87.5,70.0,271.45972
1980-01-01,87.5,72.5,271.45972
1980-01-01,87.5,75.0,271.45972
1980-01-01,87.5,77.5,271.45972
1980-01-01,87.5,80.0,271.45972
1980-01-01,87.5,82.5,271.45972
1980-01-01,87.5,85.0,271.45972
1980-01-01,87.5,87.5,271.45972
1980-01-01,87.5,90.0,271.45972
1980-01-01,87.5,92.5,271.45972
1980-01-01,87.5,95.0,271.45972
1980-01-01,87.5,97.5,271.45972
1980-01-01,87.5,100.0,271.45972
1980-01-01,87.5,102.5,271.45972
1980-01-01,87.5,105.0,271.45972
1980-01-01,87.5,107.5,271.45972
1980-01-01,87.5,110.0,271.45972
1980-01-01,87.5,112.5,271.45972
1980-01-01,87.5,115.0,271.45972
1980-01-01,87.5,117.5,271.45972
1980-01-01,87.5,120.0,271.45972
1980-01-01,87.5,122.5,271.45972
1980-01-01,87.5,125.0,271.45972
1980-01-01,87.5,127.5,271.45972
1980-01-01,87.5,130.0,271.45972
1980-01-01,87.5,132.5,271.45972
1980-01-01,87.5,135.0,271.45972
1980-01-01,87.5,137.5,271.45972
1980-01-01,87.5,140.0,271.45972
1980-01-01,87.5,142.5,271.45972
1980-01-01,87.5,145.0,271.45972
1980-01-01,87.5,147.5,271.45972
1980-01-01,87.5,150.0,271.45972
1980-01-01,87.5,152.5,271.45972
1980-01-01,87.5,155.0,271.45972
1980-01-01,87.5,157.5,271.45972
1980-01-01,87.5,160.0,271.45972
1980-01-01,87.5,162.5,271.45972
1980-01-01,87.5,165.0,271.45972
1980-01-01,87.5,167.5,271.45972
1980-01-01,87.5,170.0,271.45972
1980-01-01,87.5,172.5,271.45972
1980-01-01,87.5,175.0,271.45972
1980-01-01,87.5,177.5,271.45972
1980-01-01,85.0,-180.0,271.45972
1980-01-01,85.0,-177.5,271.45972
1980-01-01,85.0,-175.0,271.45972
1980-01-01,85.0,-172.5,271.45972
1980-01-01,85.0,-170.0,271.45972
1980-01-01,85.0,-167.5,271.45972
1980-01-01,85.0,-165.0,271.45972
1980-01-01,85.0,-162.5,271.45972
1980-01-01,85.0,-160.0,271.45972
1980-01-01,85.0,-157.5,271.45972
1980-01-01,85.0,-155.0,271.45972
1980-01-01,85.0,-152.5,271.45972
1980-01-01,85.0,-150.0,271.45972
1980-01-01,85.0,-147.5,271.45972
1980-01-01,85.0,-145.0,271.45972
1980-01-01,85.0,-142.5,271.45972
1980-01-01,85.0,-140.0,271.45972
1980-01-01,85.0,-137.5,271.45972
1980-01-01,85.0,-135.0,271.45972
1980-01-01,85.0,-132.5,271.45972
1980-01-01,85.0,-130.0,271.45972
1980-01-01,85.0,-127.5,271.45972
1980-01-01,85.0,-125.0,271.45972
1980-01-01,85.0,-122.5,271.45972
1980-01-01,85.0,-120.0,271.45972
1980-01-01,85.0,-117.5,271.45972
1980-01-01,85.0,-115.0,271.45972
1980-01-01,85.0,-112.5,271.45972
1980-01-01,85.0,-110.0,271.45972
1980-01-01,85.0,-107.5,271.45972
1980-01-01,85.0,-105.0,271.45972
1980-01-01,85.0,-102.5,271.45972
1980-01-01,85.0,-100.0,271.45972
1980-01-01,85.0,-97.5,271.45972
1980-01-01,85.0,-95.0,271.45972
1980-01-01,85.0,-92.5,271.45972
1980-01-01,85.0,-90.0,271.45972
1980-01-01,85.0,-87.5,271.45972
1980-01-01,85.0,-85.0,271.45972
1980-01-01,85.0,-82.5,271.45972
1980-01-01,85.0,-80.0,271.45972
1980-01-01,85.0,-77.5,271.45972
1980-01-01,85.0,-75.0,271.45972
1980-01-01,85.0,-72.5,271.45972
1980-01-01,85.0,-70.0,271.45972
1980-01-01,85.0,-67.5,271.45972
1980-01-01,85.0,-65.0,271.45972
1980-01-01,85.0,-62.5,271.45972
1980-01-01,85.0,-60.0,271.45972
1980-01-01,85.0,-57.5,271.45972
1980-01-01,85.0,-55.0,271.45972
1980-01-01,85.0,-52.5,271.45972
1980-01-01,85.0,-50.0,271.45972
1980-01-01,85.0,-47.5,271.45972
