,latitude,longitude,number,time,step,surface,valid_time,lsm
5713,-7.5,62.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5714,-7.5,65.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5715,-7.5,67.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5716,-7.5,70.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5717,-7.5,72.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5718,-7.5,75.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5719,-7.5,77.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5720,-7.5,80.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5721,-7.5,82.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5722,-7.5,85.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5723,-7.5,87.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5724,-7.5,90.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5849,-10.0,42.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5850,-10.0,45.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5851,-10.0,47.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5852,-10.0,50.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5853,-10.0,52.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5854,-10.0,55.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5855,-10.0,57.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5856,-10.0,60.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5857,-10.0,62.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5858,-10.0,65.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5859,-10.0,67.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5860,-10.0,70.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5861,-10.0,72.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5862,-10.0,75.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5863,-10.0,77.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5864,-10.0,80.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5865,-10.0,82.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5866,-10.0,85.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5867,-10.0,87.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5868,-10.0,90.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5993,-12.5,42.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5994,-12.5,45.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5995,-12.5,47.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5996,-12.5,50.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5997,-12.5,52.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5998,-12.5,55.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
5999,-12.5,57.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6000,-12.5,60.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6001,-12.5,62.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6002,-12.5,65.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6003,-12.5,67.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6004,-12.5,70.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6005,-12.5,72.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6006,-12.5,75.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6007,-12.5,77.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6008,-12.5,80.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6009,-12.5,82.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6010,-12.5,85.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6011,-12.5,87.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6012,-12.5,90.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6137,-15.0,42.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6138,-15.0,45.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6141,-15.0,52.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6142,-15.0,55.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6143,-15.0,57.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6144,-15.0,60.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6145,-15.0,62.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6146,-15.0,65.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6147,-15.0,67.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6148,-15.0,70.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6149,-15.0,72.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6150,-15.0,75.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6151,-15.0,77.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6152,-15.0,80.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6153,-15.0,82.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6154,-15.0,85.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6155,-15.0,87.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6156,-15.0,90.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6280,-17.5,40.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6281,-17.5,42.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6284,-17.5,50.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6285,-17.5,52.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6286,-17.5,55.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6287,-17.5,57.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6288,-17.5,60.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6289,-17.5,62.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6290,-17.5,65.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6291,-17.5,67.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6292,-17.5,70.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6293,-17.5,72.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6294,-17.5,75.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6295,-17.5,77.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6296,-17.5,80.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6297,-17.5,82.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6298,-17.5,85.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6299,-17.5,87.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6300,-17.5,90.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6423,-20.0,37.5,0,2023-02-13,0 days,0.0,2023-02-13,1.0
6424,-20.0,40.0,0,2023-02-13,0 days,0.0,2023-02-13,1.0
